step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
0,0.2000000000000001,8.469019281125553e-17,0.20000000000000007,0.20000000000000012,0.3,0.0,0.3,0.3
1,0.4866666666666667,0.2487670747331012,0.39377551433796587,0.5795578189953675,0.38000000000000006,0.20068847019439232,0.305061693652819,0.45493830634718113
2,0.43666666666666665,0.22966742571984733,0.35090744048944056,0.5224258928438927,0.44,0.23576727274274462,0.3519630535111385,0.5280369464888616
3,0.4366666666666667,0.17904600320690717,0.36980979030719713,0.5035235430261362,0.4666666666666666,0.22488822255440183,0.38269202428023164,0.5506413090531016
4,0.5,0.1929802562708031,0.42793998803533134,0.5720600119646686,0.4399999999999999,0.2298425248009962,0.35417539075133214,0.5258246092486677
5,0.45999999999999996,0.2298425248009962,0.3741753907513322,0.5458246092486677,0.44333333333333336,0.22996751394765386,0.3574620523702755,0.5292046142963912
6,0.45,0.1960823190960086,0.3767816587397904,0.5232183412602096,0.41666666666666663,0.21186093899363412,0.33755649190711023,0.495776841426223
7,0.5366666666666667,0.2606137759787173,0.439351883392513,0.6339814499408205,0.44000000000000006,0.25407031337393793,0.3451285858181181,0.534871414181882
8,0.5066666666666666,0.2490441497119479,0.4136720528405223,0.599661280492811,0.5099999999999999,0.22795946403117223,0.42487853719867286,0.5951214628013269
9,0.42666666666666664,0.22427405238839526,0.3429213591892323,0.510411974144101,0.4666666666666666,0.2682424705159602,0.3665032820368534,0.5668300512964798
10,0.4133333333333333,0.19070347687431927,0.3421234847673561,0.48454318189931045,0.45000000000000007,0.2542738138578039,0.3550525974886093,0.5449474025113908
11,0.48333333333333334,0.230566518688707,0.39723838032401904,0.5694282863426476,0.42333333333333323,0.23588912259983402,0.3352508873600714,0.511415779306595
12,0.4900000000000001,0.23686166485073532,0.4015544007819952,0.578445599218005,0.49666666666666676,0.2606137759787173,0.39935188339251304,0.5939814499408205
13,0.49666666666666676,0.22358109434191087,0.41318011397630555,0.580153219357028,0.4933333333333334,0.250424926231717,0.3998231290812158,0.586843537585451
14,0.5033333333333333,0.25795392977246434,0.4070117529554272,0.5996549137112395,0.5633333333333336,0.23265089035206635,0.4764600631536362,0.650206603513031
15,0.4066666666666666,0.21961303480775288,0.3246618117573815,0.48867152157595173,0.4299999999999999,0.2479571709402445,0.33741127071773536,0.5225887292822644
16,0.4066666666666666,0.20833218390487515,0.3288741507123692,0.48445918262096405,0.3100000000000001,0.19360464514233547,0.2377068373989778,0.3822931626010224
17,0.4766666666666666,0.2541833893123209,0.3817530292354728,0.5715803040978604,0.55,0.2431829168228779,0.45919400650360287,0.6408059934963972
18,0.42000000000000004,0.2249904212520444,0.33598719599269666,0.5040128040073034,0.4666666666666667,0.2324284588981029,0.3798764537568873,0.5534568795764461
19,0.4433333333333334,0.216051292334807,0.36265845492099824,0.5240082117456686,0.38999999999999996,0.22491377658238665,0.3060158155826966,0.47398418441730333
20,0.4800000000000001,0.2187740134602765,0.3983084408107337,0.5616915591892665,0.44333333333333336,0.24166567578076684,0.3530938869530017,0.533572779713665
21,0.49,0.2708225019938464,0.388873215783315,0.591126784216685,0.46333333333333326,0.27099221687936986,0.3621431765368946,0.5645234901297719
22,0.51,0.21066397495734193,0.43133677895707384,0.5886632210429261,0.4933333333333333,0.2490441497119479,0.40033871950718897,0.5863279471594776
23,0.4566666666666668,0.23588912259983405,0.36858422069340496,0.5447491126399286,0.44999999999999996,0.2542738138578039,0.3550525974886092,0.5449474025113907
24,0.48666666666666664,0.22853858548934636,0.40132895635892907,0.5720043769744042,0.4266666666666667,0.2545223157120065,0.3316264720379209,0.5217068612954124
25,0.4766666666666667,0.2541833893123209,0.38175302923547283,0.5715803040978605,0.49999999999999983,0.24068866712572615,0.4101253746471262,0.5898746253528735
26,0.4800000000000001,0.25515377378330517,0.38472401505232595,0.5752759849476742,0.5000000000000001,0.25188941196896103,0.4059429477864009,0.5940570522135994
27,0.51,0.22491377658238668,0.42601581558269663,0.5939841844173034,0.4933333333333332,0.24765567494675614,0.4008571845052452,0.5858094821614211
28,0.41666666666666663,0.23937178316316363,0.3272837738668121,0.5060495594665211,0.4699999999999999,0.23657032197927802,0.3816631899980979,0.5583368100019019
29,0.49000000000000005,0.23831303667293544,0.40101244963686783,0.5789875503631322,0.51,0.2294671488771173,0.4243155584248999,0.5956844415751001
30,0.4466666666666665,0.2080008841714187,0.36899786006594804,0.5243354732673849,0.45333333333333325,0.22396633572979197,0.369702929144604,0.5369637375220625
31,0.4733333333333334,0.20667037445691372,0.3961613472250273,0.5505053194416394,0.40666666666666657,0.21485092399203193,0.3264400131598938,0.48689332017343934
32,0.5033333333333334,0.25255021123610705,0.4090295346182166,0.5976371320484503,0.44333333333333347,0.22234383645425254,0.36030878033097624,0.5263578863356907
33,0.47999999999999987,0.22651786867173684,0.395416837752608,0.5645831622473918,0.4866666666666665,0.23302113761354917,0.3996551438874136,0.5736781894459195
34,0.5200000000000001,0.24268611769966966,0.4293795143449449,0.6106204856550553,0.42000000000000004,0.2325273435904719,0.33317286293925863,0.5068271370607415
