step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.015897824265728843,0.02930989201575402,0.004953330719329057,0.02684231781212863,0.0295245307792107,0.034339772783328455,0.016701848887037078,0.04234721267138432
3,0.04456009444173248,0.05413631514983383,0.024345262143314034,0.06477492674015092,0.04827555158683388,0.06108923788911223,0.02546445526916394,0.07108664790450382
4,0.0916450049266188,0.074386821633082,0.0638685092348958,0.1194215006183418,0.08402472986250405,0.09637444809526208,0.04803791951705822,0.12001154020794988
5,0.12023337718516716,0.10286195342687221,0.08182409253664721,0.1586426618336871,0.13170425195572794,0.15610104537746297,0.07341516365742864,0.18999334025402723
6,0.1664802596881411,0.12807162655427237,0.11865752838818416,0.21430299098809802,0.14390019355682535,0.14532183310872016,0.08963612926909281,0.19816425784455788
7,0.18870724928256136,0.11394644704994977,0.1461589466923282,0.2312555518727945,0.17953105540465536,0.17246655464691013,0.11513098551397292,0.24393112529533778
8,0.19819414048383582,0.10628462639053474,0.15850680874656825,0.2378814722211034,0.20024051767655807,0.18430116423178047,0.13142133194074884,0.2690597034123673
9,0.23643262618360836,0.15670126800311096,0.17791941107347103,0.2949458412937457,0.22366615544329557,0.19577021243097825,0.15056435672713142,0.2967679541594597
10,0.30575394932530375,0.17798786200803074,0.23929218938305122,0.3722157092675563,0.25075393032419,0.20803455203375962,0.17307255193706195,0.3284353087113181
11,0.363584749137168,0.20069171080930806,0.2886452327244905,0.43852426554984547,0.2668226895376058,0.22205193268960452,0.18390713519231094,0.34973824388290065
12,0.40922942205257395,0.2081978133739079,0.33148708087913914,0.48697176322600877,0.32345364303075463,0.26530129034611555,0.22438851312567265,0.4225187729358366
