step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
0,0.2000000000000001,8.469019281125553e-17,0.20000000000000007,0.20000000000000012,0.3,0.0,0.3,0.3
1,0.48666666666666664,0.23449628088122518,0.39910431633866605,0.5742290169946672,0.38,0.20409598823542094,0.30378930550518485,0.45621069449481516
2,0.4766666666666666,0.26087826905353356,0.3792531200552465,0.5740802132780868,0.4399999999999999,0.23430013172027442,0.3525108929724183,0.5274891070275816
3,0.4166666666666668,0.16832508230603463,0.3538130479632812,0.47952028537005237,0.5033333333333334,0.2220334447210884,0.42042468250893866,0.5862419841577282
4,0.5333333333333333,0.2170862427276523,0.4522719980930695,0.6143946685735971,0.4399999999999999,0.21750941319305286,0.35878065031106077,0.521219349688939
5,0.46666666666666656,0.23683739996670397,0.3782301281052667,0.5551032052280664,0.4566666666666666,0.23146211924130947,0.3702372909149266,0.5430960424184066
6,0.4400000000000001,0.18864306744895695,0.3695595209576874,0.5104404790423128,0.4166666666666667,0.19841324575731836,0.342577943086791,0.49075539024654236
7,0.5233333333333333,0.25282314021838476,0.4289276212613349,0.6177390454053318,0.44666666666666666,0.2315365962484092,0.3602094807434282,0.5331238525899051
8,0.48333333333333334,0.24080802674978766,0.39341413836435396,0.5732525283023127,0.46666666666666656,0.23390733994075721,0.37932423050002484,0.5540091028333083
9,0.35666666666666663,0.18510636892363252,0.2875468125575734,0.42578652077575985,0.43666666666666665,0.26324674845990526,0.33836871531012214,0.5349646180232112
10,0.4733333333333334,0.17406565018610837,0.40833615135505186,0.5383305153116149,0.4466666666666666,0.2622624814863962,0.3487362466382387,0.5445970866950945
11,0.46666666666666673,0.20057388927143846,0.391771145539272,0.5415621877940615,0.4,0.22590812902288554,0.31564451827931395,0.4843554817206861
12,0.49,0.20736441353327723,0.4125688554414299,0.5674311445585701,0.4666666666666666,0.2564120247507547,0.370920843086165,0.5624124902471682
13,0.4866666666666667,0.24457328544635243,0.3953415009939082,0.5779918323394252,0.49666666666666676,0.24842029642958105,0.4039050034845949,0.5894283298487386
14,0.4799999999999999,0.24691196253195044,0.3878015579515836,0.5721984420484163,0.51,0.23975562270922798,0.4204737791581146,0.5995262208418854
15,0.41999999999999993,0.21877401346027647,0.3383084408107335,0.5016915591892663,0.4533333333333332,0.2501493806581942,0.35992601948932557,0.5467406471773408
16,0.41999999999999993,0.2074475421850562,0.34253781469271516,0.4974621853072847,0.35666666666666674,0.21283526628524854,0.2771926721172106,0.4361406612161229
17,0.4766666666666666,0.2528231402183848,0.38226095459466813,0.5710723787386651,0.5233333333333333,0.23588912259983405,0.4352508873600715,0.6114157793065952
18,0.45000000000000007,0.20636425779807827,0.37294231973066705,0.5270576802693331,0.48000000000000004,0.20068847019439234,0.4050616936528189,0.5549383063471811
19,0.48666666666666675,0.238867057721168,0.3974722414442313,0.5758610918891022,0.4699999999999999,0.24516004624706297,0.37845573424344703,0.5615442657565528
20,0.49000000000000005,0.20060254063781152,0.4150937802765751,0.564906219723425,0.42333333333333345,0.22996751394765383,0.3374620523702756,0.5092046142963913
21,0.46,0.2415467399618693,0.3698049649843251,0.550195035015675,0.44333333333333336,0.26481396636433135,0.34445017319363896,0.5422164934730277
22,0.5133333333333334,0.21929877797878516,0.43144582385250296,0.5952208428141639,0.48000000000000004,0.2455114296096325,0.388324525539509,0.571675474460491
23,0.48000000000000015,0.23252734359047192,0.3931728629392587,0.5668271370607416,0.48999999999999994,0.24261506335245808,0.3994060464742369,0.5805939535257629
24,0.47333333333333333,0.22427405238839526,0.3895880258558989,0.5570786408107677,0.39333333333333326,0.2377093753440044,0.30457119381494746,0.48209547285171905
25,0.4066666666666666,0.22117762144910832,0.3240775855040096,0.48925574782932363,0.4733333333333333,0.24202213254923227,0.38296078380816767,0.5637058828584989
26,0.48000000000000004,0.24268611769966966,0.3893795143449449,0.5706204856550552,0.42666666666666675,0.2545223157120065,0.33162647203792095,0.5217068612954125
27,0.5400000000000001,0.20777972421076957,0.46241377588579324,0.617586224114207,0.4833333333333333,0.2574186625248681,0.38721162503048523,0.5794550416361813
28,0.3699999999999999,0.2321563088183001,0.283311409600138,0.45668859039986176,0.4733333333333333,0.2558735319797968,0.37778858625810724,0.5688780804085594
29,0.56,0.2554239207872764,0.46462314050321624,0.6553768594967838,0.5433333333333333,0.23588912259983405,0.4552508873600715,0.6314157793065952
30,0.40999999999999986,0.23245318401480478,0.3232005545799119,0.4967994454200878,0.4733333333333333,0.2462593717220109,0.3813785726981403,0.5652880939685262
31,0.5033333333333333,0.2141274730450151,0.42337682084982003,0.5832898458168465,0.4399999999999999,0.22682212383731215,0.35530322700664185,0.5246967729933579
32,0.45333333333333337,0.24457328544635246,0.36200816766057486,0.5446584990060919,0.4200000000000001,0.2203445577678991,0.3377219899282169,0.5022780100717833
33,0.4666666666666665,0.24259137394524907,0.3760815589109315,0.5572517744224015,0.4566666666666666,0.23294713523907512,0.36968277682817696,0.5436505565051563
