step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.01816894201797582,0.030644858070874272,0.0067259639542303785,0.02961192008172126,0.0295245307792107,0.034339772783328455,0.016701848887037078,0.04234721267138432
3,0.0512151884753578,0.05224999028961858,0.03170472145566308,0.07072565549505251,0.03906830359854487,0.054373759595857246,0.018764808086842152,0.05937179911024759
4,0.09556724051277796,0.07078808221431113,0.06913453620461728,0.12199994482093864,0.08689644666372785,0.0953691883808431,0.051285006464681766,0.12250788686277395
5,0.14369888020284757,0.12288724500476284,0.09781202878877297,0.18958573161692216,0.13465417092816345,0.15544375506855956,0.07661051886484031,0.19269782299148658
6,0.19246133773470747,0.15621700615242115,0.13412894897141556,0.25079372649799936,0.15129014952572803,0.14371029587897086,0.09762784312919803,0.20495245592225803
7,0.2436385906330422,0.13922960640945448,0.191649401181337,0.2956277800847474,0.18863553010914505,0.18273753637248932,0.12040021261160104,0.25687084760668905
8,0.27856350852820305,0.1618213460130069,0.2181384248684904,0.3389885921879157,0.2195470511144067,0.20905071921062107,0.14148622966746638,0.297607872561347
9,0.33465033327764876,0.20170312872104976,0.25933314720989986,0.40996751934539766,0.2469507457080563,0.21669783613054083,0.16603444387471125,0.3278670475414014
10,0.3752183677864666,0.21951089751979785,0.2932516515672957,0.4571850840056375,0.28170602416074136,0.23026466001138854,0.19572378703397142,0.3676882612875113
11,0.44619239074615064,0.22215082396073288,0.36323990979334464,0.5291448716989566,0.31181940361966076,0.22868737072009,0.22642613599370454,0.397212671245617
12,0.48340435186866276,0.23945310834903355,0.3939910917453314,0.5728176119919941,0.3559002749948883,0.24730356478593715,0.263555606261665,0.4482449437281116
