step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f2_mean,f2_std,f2_ci_lower,f2_ci_upper
0,0.2000000000000001,8.469019281125553e-17,0.20000000000000007,0.20000000000000012,0.3,0.0,0.3,0.3
1,0.4966666666666668,0.2539119224609512,0.4018543966237008,0.5914789367096328,0.35000000000000003,0.1795588463717252,0.28295162485559294,0.4170483751444071
2,0.44,0.24996551486292998,0.34666134277228394,0.5333386572277161,0.53,0.24795717094024447,0.43741127071773556,0.6225887292822645
3,0.45333333333333337,0.19605300714142437,0.3801259373368459,0.5265407293298208,0.48333333333333334,0.21984843263788195,0.4012405794296985,0.5654260872369682
4,0.51,0.21229452540572352,0.4307279214133545,0.5892720785866455,0.4866666666666667,0.23153659624840914,0.40020948074342827,0.5731238525899052
5,0.4633333333333333,0.22358109434191087,0.3798467806429721,0.5468198860236946,0.48333333333333345,0.2464693214921111,0.3913001761655741,0.5753664905010928
6,0.4300000000000001,0.16846159902134253,0.3670954051173485,0.4929045948826517,0.39,0.2155186206852414,0.3095240244504897,0.4704759755495103
7,0.5133333333333334,0.260944350433169,0.415895111529232,0.6107715551374349,0.4566666666666667,0.23588912259983408,0.3685842206934049,0.5447491126399285
8,0.5166666666666667,0.2320572660199281,0.43001505945551866,0.6033182738778148,0.4733333333333334,0.2448551061107482,0.3819029340950243,0.5647637325716425
9,0.48666666666666664,0.25694938899664094,0.3907201879790767,0.5826131453542566,0.5066666666666666,0.2651393040926084,0.4076620234227146,0.6056713099106186
10,0.43000000000000005,0.19852907369815706,0.3558680255562071,0.504131974443793,0.45333333333333337,0.256949388996641,0.35738685464574343,0.5492798120209232
11,0.47333333333333333,0.2164499358111332,0.3925095990005594,0.5541570676661073,0.4433333333333332,0.2528231402183848,0.3489276212613347,0.5377390454053317
12,0.45000000000000007,0.21774708517784636,0.3686919021334035,0.5313080978665966,0.5000000000000001,0.2599734734478726,0.40292430962024556,0.5970756903797547
13,0.4733333333333333,0.20833218390487512,0.39554081737903585,0.5511258492876306,0.44666666666666666,0.23449628088122512,0.35910431633866613,0.5342290169946672
14,0.45,0.28008619362986986,0.3454140964773892,0.5545859035226108,0.5399999999999999,0.2527094556313975,0.44563673845043733,0.6343632615495626
15,0.37333333333333335,0.20160277319749237,0.2980536206339383,0.4486130460327284,0.3733333333333332,0.23625429510174614,0.28511452970688206,0.4615521369597843
16,0.49000000000000005,0.23975562270922793,0.40047377915811466,0.5795262208418854,0.4566666666666666,0.2635085987386282,0.35827093880913513,0.555062394524198
17,0.4866666666666667,0.23302113761354923,0.3996551438874137,0.5736781894459196,0.5166666666666667,0.26272226496006595,0.41856456066759057,0.6147687726657429
18,0.49,0.2482351499187261,0.3973074716612807,0.5826925283387193,0.46666666666666656,0.2523453207799587,0.37243937530523874,0.5608939580280944
19,0.46666666666666673,0.23683739996670397,0.37823012810526685,0.5551032052280666,0.5066666666666667,0.26383554613110577,0.40814885464638706,0.6051844786869464
20,0.48666666666666664,0.20965214758858483,0.4083812681725742,0.5649520651607591,0.4366666666666667,0.24422055229017794,0.3454732137190618,0.5278601196142716
21,0.5166666666666667,0.25875475452347874,0.42004605341226403,0.6132872799210694,0.46,0.2594423728452741,0.3631226258444917,0.5568773741555084
22,0.4900000000000001,0.2411895806064256,0.3999383304794484,0.5800616695205518,0.5333333333333333,0.26041522988109395,0.43609268839046156,0.6305739782762051
23,0.45000000000000007,0.2501723543810381,0.35658410762689835,0.5434158923731018,0.4699999999999999,0.26800669060099325,0.36992465703735966,0.5700753429626402
24,0.5033333333333333,0.23559657706859152,0.4153601256567186,0.5913065410099481,0.46333333333333326,0.23116397126108432,0.37701528786707134,0.5496513787995951
25,0.4633333333333332,0.2511811179666746,0.3695407624468167,0.5571259042198498,0.4666666666666667,0.2656590157394967,0.36746795990442194,0.5658653734289114
26,0.46,0.24719111690322143,0.3676973199962483,0.5523026800037518,0.4866666666666667,0.26487906587767535,0.3877591979691897,0.5855741353641437
27,0.49,0.23393190874917963,0.4026483896895205,0.5773516103104795,0.4833333333333333,0.2653343152526162,0.3842558717254981,0.5824107949411685
28,0.3733333333333333,0.22732831086237412,0.28844754699846975,0.45821911966819684,0.5433333333333332,0.23294713523907515,0.4563494434948435,0.6303172231718229
29,0.4900000000000001,0.2758685344069926,0.38698899631396605,0.5930110036860342,0.4666666666666667,0.26695386832951484,0.36698445400111207,0.5663488793322213
30,0.4133333333333332,0.25289132643984796,0.31890216010779804,0.5077645065588684,0.5399999999999998,0.25407031337393793,0.4451285858181179,0.6348714141818818
31,0.4433333333333333,0.201174711054387,0.3682134616650876,0.518453205001579,0.4366666666666666,0.23559657706859152,0.3486934589900519,0.5246398743432813
32,0.44000000000000006,0.24011491501735815,0.3503396172053689,0.5296603827946312,0.4066666666666668,0.23331691239426983,0.3195446997691944,0.49378863356413916
33,0.4566666666666666,0.21605129233480694,0.3759917882543315,0.5373415450790018,0.4666666666666666,0.23973165074269212,0.37714939710419587,0.5561839362291373
34,0.4700000000000001,0.23215630881830007,0.38331140960013826,0.556688590399862,0.3433333333333333,0.2112088904433212,0.26446663750392796,0.4222000291627387
35,0.49333333333333335,0.27029145614385924,0.39240484489593347,0.5942618217707332,0.5666666666666665,0.24116575117588712,0.4766138952017134,0.6567194381316197
36,0.4066666666666667,0.2377093753440044,0.3179045271482809,0.4954288061850525,0.4400000000000001,0.260768096208106,0.34262759260516673,0.5373724073948335
37,0.49333333333333323,0.24904414971194794,0.4003387195071889,0.5863279471594776,0.46333333333333326,0.25795392977246434,0.36701175295542715,0.5596549137112394
38,0.4700000000000001,0.22613697405440517,0.385559066140178,0.5544409338598222,0.4299999999999999,0.26929025489109387,0.3294453662545125,0.5305546337454873
