param1_name,param1_value,param2_name,param2_value,params,f1_mean_fitness,f2_mean_fitness,fitness_diff,f1_ci_lower,f1_ci_upper,f2_ci_lower,f2_ci_upper,f1_win_rate,ci_overlap
selection_strength,0.0,memory_decay,0.8,"{'selection_strength': 0.0, 'memory_decay': 0.8, 'memory_growth': 1.5, 'steepness': 0.6}",138.28000000000006,136.38000000000005,1.9000000000000057,136.58732500513278,139.97267499486733,134.72360618338215,138.03639381661796,0.7,True
selection_strength,0.0,memory_decay,0.9,"{'selection_strength': 0.0, 'memory_decay': 0.9, 'memory_growth': 1.5, 'steepness': 0.6}",139.105,135.53000000000003,3.57499999999996,137.0303721276885,141.17962787231147,133.48635338823408,137.57364661176598,0.8,True
selection_strength,0.0,memory_decay,0.95,"{'selection_strength': 0.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.6}",141.12000000000006,135.875,5.245000000000061,139.62770559948513,142.612294400515,133.97198455597515,137.77801544402485,0.9,False
selection_strength,0.0,memory_decay,0.99,"{'selection_strength': 0.0, 'memory_decay': 0.99, 'memory_growth': 1.5, 'steepness': 0.6}",141.905,136.45,5.4550000000000125,140.43693739861126,143.37306260138874,134.55648130260082,138.34351869739916,0.9,False
selection_strength,0.5,memory_decay,0.8,"{'selection_strength': 0.5, 'memory_decay': 0.8, 'memory_growth': 1.5, 'steepness': 0.6}",138.89500000000007,137.91500000000005,0.9800000000000182,137.56262039672262,140.2273796032775,136.2632985635885,139.5667014364116,0.7,True
selection_strength,0.5,memory_decay,0.9,"{'selection_strength': 0.5, 'memory_decay': 0.9, 'memory_growth': 1.5, 'steepness': 0.6}",139.05500000000006,137.90499999999994,1.1500000000001194,137.34950982158293,140.7604901784172,135.9255191918401,139.8844808081598,0.7,True
selection_strength,0.5,memory_decay,0.95,"{'selection_strength': 0.5, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.6}",140.29000000000005,137.81499999999997,2.4750000000000796,138.77605439476673,141.80394560523337,135.92143411895051,139.70856588104942,0.75,True
selection_strength,0.5,memory_decay,0.99,"{'selection_strength': 0.5, 'memory_decay': 0.99, 'memory_growth': 1.5, 'steepness': 0.6}",141.07000000000002,138.27999999999997,2.790000000000049,139.531265785655,142.60873421434505,136.411295374919,140.14870462508094,0.75,True
selection_strength,1.0,memory_decay,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.8, 'memory_growth': 1.5, 'steepness': 0.6}",139.36000000000007,139.16500000000002,0.19500000000005002,137.64386805623155,141.0761319437686,137.06042595513765,141.2695740448624,0.6,True
selection_strength,1.0,memory_decay,0.9,"{'selection_strength': 1.0, 'memory_decay': 0.9, 'memory_growth': 1.5, 'steepness': 0.6}",139.97,138.495,1.4749999999999943,137.8653807643492,142.0746192356508,136.27135602518183,140.71864397481818,0.75,True
selection_strength,1.0,memory_decay,0.95,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.6}",140.36999999999998,138.64499999999995,1.7250000000000227,138.0976568152682,142.64234318473174,136.96601022550124,140.32398977449867,0.7,True
selection_strength,1.0,memory_decay,0.99,"{'selection_strength': 1.0, 'memory_decay': 0.99, 'memory_growth': 1.5, 'steepness': 0.6}",140.845,139.05499999999998,1.7900000000000205,138.8612141907212,142.8287858092788,137.22602275642978,140.88397724357017,0.6,True
selection_strength,2.0,memory_decay,0.8,"{'selection_strength': 2.0, 'memory_decay': 0.8, 'memory_growth': 1.5, 'steepness': 0.6}",139.39000000000007,141.95,-2.559999999999917,137.99966177258653,140.7803382274136,140.25195987156934,143.64804012843064,0.2,True
selection_strength,2.0,memory_decay,0.9,"{'selection_strength': 2.0, 'memory_decay': 0.9, 'memory_growth': 1.5, 'steepness': 0.6}",138.965,139.79499999999996,-0.8299999999999557,136.98110959085744,140.94889040914256,137.7984703590435,141.7915296409564,0.4,True
selection_strength,2.0,memory_decay,0.95,"{'selection_strength': 2.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.6}",139.175,140.15499999999992,-0.9799999999999045,137.21292765277505,141.13707234722497,138.07343771886786,142.23656228113197,0.4,True
selection_strength,2.0,memory_decay,0.99,"{'selection_strength': 2.0, 'memory_decay': 0.99, 'memory_growth': 1.5, 'steepness': 0.6}",139.22500000000002,140.13499999999993,-0.9099999999999113,137.33792301492562,141.11207698507442,137.91276663293158,142.3572333670683,0.45,True
selection_strength,0.0,memory_growth,0.5,"{'selection_strength': 0.0, 'memory_decay': 0.95, 'memory_growth': 0.5, 'steepness': 0.6}",138.3700000000001,136.14500000000007,2.2250000000000227,136.57360872318623,140.16639127681395,134.52336127235208,137.76663872764806,0.7,True
selection_strength,0.0,memory_growth,1.0,"{'selection_strength': 0.0, 'memory_decay': 0.95, 'memory_growth': 1.0, 'steepness': 0.6}",140.62500000000003,135.65500000000003,4.969999999999999,139.12590168052776,142.1240983194723,133.6567965532402,137.65320344675985,0.85,False
selection_strength,0.0,memory_growth,1.5,"{'selection_strength': 0.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.6}",141.12000000000006,135.875,5.245000000000061,139.62770559948513,142.612294400515,133.97198455597515,137.77801544402485,0.9,False
selection_strength,0.0,memory_growth,2.5,"{'selection_strength': 0.0, 'memory_decay': 0.95, 'memory_growth': 2.5, 'steepness': 0.6}",141.49500000000003,136.295,5.2000000000000455,139.9226655127305,143.06733448726956,134.38596041654034,138.20403958345963,0.9,False
selection_strength,0.5,memory_growth,0.5,"{'selection_strength': 0.5, 'memory_decay': 0.95, 'memory_growth': 0.5, 'steepness': 0.6}",138.29000000000008,136.95,1.3400000000000887,136.71477754095858,139.86522245904158,135.06038182483593,138.83961817516405,0.8,True
selection_strength,0.5,memory_growth,1.0,"{'selection_strength': 0.5, 'memory_decay': 0.95, 'memory_growth': 1.0, 'steepness': 0.6}",139.77500000000003,137.19,2.5850000000000364,138.23373741971446,141.3162625802856,134.97745634128572,139.40254365871428,0.8,True
